row-number,field,issue-type,value
1,organisation,default,government-organisation:D303
1,entry-date,default,2021-02-01
2,organisation,default,government-organisation:D303
2,entry-date,default,2021-02-01
3,organisation,default,government-organisation:D303
3,entry-date,default,2021-02-01
4,organisation,default,government-organisation:D303
4,entry-date,default,2021-02-01
5,organisation,default,government-organisation:D303
5,entry-date,default,2021-02-01
6,organisation,default,government-organisation:D303
6,entry-date,default,2021-02-01
7,organisation,default,government-organisation:D303
7,entry-date,default,2021-02-01
8,organisation,default,government-organisation:D303
8,entry-date,default,2021-02-01
9,organisation,default,government-organisation:D303
9,entry-date,default,2021-02-01
10,organisation,default,government-organisation:D303
10,entry-date,default,2021-02-01
11,organisation,default,government-organisation:D303
11,entry-date,default,2021-02-01
12,organisation,default,government-organisation:D303
12,entry-date,default,2021-02-01
13,organisation,default,government-organisation:D303
13,entry-date,default,2021-02-01
14,organisation,default,government-organisation:D303
14,entry-date,default,2021-02-01
15,organisation,default,government-organisation:D303
15,entry-date,default,2021-02-01
16,organisation,default,government-organisation:D303
16,entry-date,default,2021-02-01
17,organisation,default,government-organisation:D303
17,entry-date,default,2021-02-01
18,organisation,default,government-organisation:D303
18,entry-date,default,2021-02-01
19,organisation,default,government-organisation:D303
19,entry-date,default,2021-02-01
20,organisation,default,government-organisation:D303
20,entry-date,default,2021-02-01
21,organisation,default,government-organisation:D303
21,entry-date,default,2021-02-01
22,organisation,default,government-organisation:D303
22,entry-date,default,2021-02-01
23,organisation,default,government-organisation:D303
23,entry-date,default,2021-02-01
24,organisation,default,government-organisation:D303
24,entry-date,default,2021-02-01
25,organisation,default,government-organisation:D303
25,entry-date,default,2021-02-01
26,organisation,default,government-organisation:D303
26,entry-date,default,2021-02-01
27,organisation,default,government-organisation:D303
27,entry-date,default,2021-02-01
28,organisation,default,government-organisation:D303
28,entry-date,default,2021-02-01
29,organisation,default,government-organisation:D303
29,entry-date,default,2021-02-01
30,organisation,default,government-organisation:D303
30,entry-date,default,2021-02-01
31,organisation,default,government-organisation:D303
31,entry-date,default,2021-02-01
32,organisation,default,government-organisation:D303
32,entry-date,default,2021-02-01
33,organisation,default,government-organisation:D303
33,entry-date,default,2021-02-01
34,organisation,default,government-organisation:D303
34,entry-date,default,2021-02-01
35,organisation,default,government-organisation:D303
35,entry-date,default,2021-02-01
36,organisation,default,government-organisation:D303
36,entry-date,default,2021-02-01
37,organisation,default,government-organisation:D303
37,entry-date,default,2021-02-01
38,organisation,default,government-organisation:D303
38,entry-date,default,2021-02-01
39,organisation,default,government-organisation:D303
39,entry-date,default,2021-02-01
40,organisation,default,government-organisation:D303
40,entry-date,default,2021-02-01
41,organisation,default,government-organisation:D303
41,entry-date,default,2021-02-01
42,organisation,default,government-organisation:D303
42,entry-date,default,2021-02-01
43,organisation,default,government-organisation:D303
43,entry-date,default,2021-02-01
44,organisation,default,government-organisation:D303
44,entry-date,default,2021-02-01
45,organisation,default,government-organisation:D303
45,entry-date,default,2021-02-01
46,organisation,default,government-organisation:D303
46,entry-date,default,2021-02-01
47,organisation,default,government-organisation:D303
47,entry-date,default,2021-02-01
48,organisation,default,government-organisation:D303
48,entry-date,default,2021-02-01
49,organisation,default,government-organisation:D303
49,entry-date,default,2021-02-01
50,organisation,default,government-organisation:D303
50,entry-date,default,2021-02-01
51,organisation,default,government-organisation:D303
51,entry-date,default,2021-02-01
52,organisation,default,government-organisation:D303
52,entry-date,default,2021-02-01
53,organisation,default,government-organisation:D303
53,entry-date,default,2021-02-01
54,organisation,default,government-organisation:D303
54,entry-date,default,2021-02-01
55,organisation,default,government-organisation:D303
55,entry-date,default,2021-02-01
56,organisation,default,government-organisation:D303
56,entry-date,default,2021-02-01
57,organisation,default,government-organisation:D303
57,entry-date,default,2021-02-01
58,organisation,default,government-organisation:D303
58,entry-date,default,2021-02-01
59,organisation,default,government-organisation:D303
59,entry-date,default,2021-02-01
60,organisation,default,government-organisation:D303
60,entry-date,default,2021-02-01
61,organisation,default,government-organisation:D303
61,entry-date,default,2021-02-01
62,organisation,default,government-organisation:D303
62,entry-date,default,2021-02-01
63,organisation,default,government-organisation:D303
63,entry-date,default,2021-02-01
64,organisation,default,government-organisation:D303
64,entry-date,default,2021-02-01
65,organisation,default,government-organisation:D303
65,entry-date,default,2021-02-01
66,organisation,default,government-organisation:D303
66,entry-date,default,2021-02-01
67,organisation,default,government-organisation:D303
