pipeline,resource,organisation,value,entity
parish,,government-organisation:D303,E04000001,130000000
parish,,government-organisation:D303,E04000002,130000001
parish,,government-organisation:D303,E04000003,130000002
parish,,government-organisation:D303,E04000004,130000003
parish,,government-organisation:D303,E04000005,130000004
parish,,government-organisation:D303,E04000008,130000005
parish,,government-organisation:D303,E04000009,130000006
parish,,government-organisation:D303,E04000010,130000007
parish,,government-organisation:D303,E04000011,130000008
parish,,government-organisation:D303,E04000012,130000009
parish,,government-organisation:D303,E04000013,130000010
parish,,government-organisation:D303,E04000014,130000011
parish,,government-organisation:D303,E04000015,130000012
parish,,government-organisation:D303,E04000016,130000013
parish,,government-organisation:D303,E04000017,130000014
parish,,government-organisation:D303,E04000018,130000015
parish,,government-organisation:D303,E04000019,130000016
parish,,government-organisation:D303,E04000021,130000017
parish,,government-organisation:D303,E04000022,130000018
parish,,government-organisation:D303,E04000023,130000019
parish,,government-organisation:D303,E04000024,130000020
parish,,government-organisation:D303,E04000025,130000021
parish,,government-organisation:D303,E04000026,130000022
parish,,government-organisation:D303,E04000027,130000023
parish,,government-organisation:D303,E04000028,130000024
parish,,government-organisation:D303,E04000029,130000025
parish,,government-organisation:D303,E04000030,130000026
parish,,government-organisation:D303,E04000031,130000027
parish,,government-organisation:D303,E04000032,130000028
parish,,government-organisation:D303,E04000033,130000029
parish,,government-organisation:D303,E04000034,130000030
parish,,government-organisation:D303,E04000035,130000031
parish,,government-organisation:D303,E04000036,130000032
parish,,government-organisation:D303,E04000037,130000033
parish,,government-organisation:D303,E04000038,130000034
parish,,government-organisation:D303,E04000039,130000035
parish,,government-organisation:D303,E04000041,130000036
parish,,government-organisation:D303,E04000042,130000037
parish,,government-organisation:D303,E04000043,130000038
parish,,government-organisation:D303,E04000044,130000039
parish,,government-organisation:D303,E04000045,130000040
parish,,government-organisation:D303,E04000046,130000041
parish,,government-organisation:D303,E04000047,130000042
parish,,government-organisation:D303,E04000048,130000043
parish,,government-organisation:D303,E04000049,130000044
parish,,government-organisation:D303,E04000050,130000045
parish,,government-organisation:D303,E04000051,130000046
parish,,government-organisation:D303,E04000052,130000047
parish,,government-organisation:D303,E04000053,130000048
parish,,government-organisation:D303,E04000054,130000049
parish,,government-organisation:D303,E04000055,130000050
parish,,government-organisation:D303,E04000056,130000051
parish,,government-organisation:D303,E04000057,130000052
parish,,government-organisation:D303,E04000058,130000053
parish,,government-organisation:D303,E04000059,130000054
parish,,government-organisation:D303,E04000060,130000055
parish,,government-organisation:D303,E04000061,130000056
parish,,government-organisation:D303,E04000062,130000057
parish,,government-organisation:D303,E04000063,130000058
parish,,government-organisation:D303,E04000064,130000059
parish,,government-organisation:D303,E04000065,130000060
parish,,government-organisation:D303,E04000066,130000061
parish,,government-organisation:D303,E04000067,130000062
parish,,government-organisation:D303,E04000068,130000063
parish,,government-organisation:D303,E04000069,130000064
parish,,government-organisation:D303,E04000070,130000065
parish,,government-organisation:D303,E04000071,130000066
parish,,government-organisation:D303,E04000072,130000067
parish,,government-organisation:D303,E04000073,130000068
parish,,government-organisation:D303,E04000074,130000069
parish,,government-organisation:D303,E04000075,130000070
parish,,government-organisation:D303,E04000076,130000071
parish,,government-organisation:D303,E04000077,130000072
parish,,government-organisation:D303,E04000078,130000073
parish,,government-organisation:D303,E04000079,130000074
parish,,government-organisation:D303,E04000080,130000075
parish,,government-organisation:D303,E04000081,130000076
parish,,government-organisation:D303,E04000082,130000077
parish,,government-organisation:D303,E04000083,130000078
parish,,government-organisation:D303,E04000084,130000079
parish,,government-organisation:D303,E04000085,130000080
parish,,government-organisation:D303,E04000086,130000081
parish,,government-organisation:D303,E04000087,130000082
parish,,government-organisation:D303,E04000088,130000083
parish,,government-organisation:D303,E04000089,130000084
parish,,government-organisation:D303,E04000090,130000085
parish,,government-organisation:D303,E04000091,130000086
parish,,government-organisation:D303,E04000092,130000087
parish,,government-organisation:D303,E04000093,130000088
parish,,government-organisation:D303,E04000094,130000089
parish,,government-organisation:D303,E04000095,130000090
parish,,government-organisation:D303,E04000096,130000091
parish,,government-organisation:D303,E04000097,130000092
parish,,government-organisation:D303,E04000098,130000093
parish,,government-organisation:D303,E04000099,130000094
parish,,government-organisation:D303,E04000103,130000095
parish,,government-organisation:D303,E04000107,130000096
parish,,government-organisation:D303,E04000108,130000097
parish,,government-organisation:D303,E04000109,130000098
parish,,government-organisation:D303,E04000110,130000099
parish,,government-organisation:D303,E04000111,130000100
parish,,government-organisation:D303,E04000112,130000101
parish,,government-organisation:D303,E04000113,130000102
parish,,government-organisation:D303,E04000115,130000103
parish,,government-organisation:D303,E04000116,130000104
parish,,government-organisation:D303,E04000118,130000105
parish,,government-organisation:D303,E04000119,130000106
parish,,government-organisation:D303,E04000121,130000107
parish,,government-organisation:D303,E04000122,130000108
parish,,government-organisation:D303,E04000124,130000109
parish,,government-organisation:D303,E04000128,130000110
parish,,government-organisation:D303,E04000129,130000111
parish,,government-organisation:D303,E04000130,130000112
parish,,government-organisation:D303,E04000131,130000113
parish,,government-organisation:D303,E04000132,130000114
parish,,government-organisation:D303,E04000133,130000115
parish,,government-organisation:D303,E04000134,130000116
parish,,government-organisation:D303,E04000136,130000117
parish,,government-organisation:D303,E04000138,130000118
parish,,government-organisation:D303,E04000139,130000119
parish,,government-organisation:D303,E04000140,130000120
parish,,government-organisation:D303,E04000141,130000121
parish,,government-organisation:D303,E04000142,130000122
parish,,government-organisation:D303,E04000143,130000123
parish,,government-organisation:D303,E04000144,130000124
parish,,government-organisation:D303,E04000146,130000125
parish,,government-organisation:D303,E04000147,130000126
parish,,government-organisation:D303,E04000148,130000127
parish,,government-organisation:D303,E04000149,130000128
parish,,government-organisation:D303,E04000150,130000129
parish,,government-organisation:D303,E04000151,130000130
parish,,government-organisation:D303,E04000154,130000131
parish,,government-organisation:D303,E04000155,130000132
parish,,government-organisation:D303,E04000156,130000133
parish,,government-organisation:D303,E04000157,130000134
parish,,government-organisation:D303,E04000158,130000135
parish,,government-organisation:D303,E04000159,130000136
parish,,government-organisation:D303,E04000160,130000137
parish,,government-organisation:D303,E04000161,130000138
parish,,government-organisation:D303,E04000162,130000139
parish,,government-organisation:D303,E04000163,130000140
parish,,government-organisation:D303,E04000164,130000141
parish,,government-organisation:D303,E04000165,130000142
parish,,government-organisation:D303,E04000166,130000143
parish,,government-organisation:D303,E04000167,130000144
